timestamp;FPS
1749607390;54.04
1749607391;46.61
1749607392;51.49
1749607393;59.1
1749607394;31.67
1749607395;50.67
1749607396;37.59
1749607397;45.19
1749607398;40.91
1749607399;37.27
1749607400;47.4
1749607401;57.05
1749607402;33.91
1749607403;44.19
1749607405;31.49
1749607406;49.9
1749607407;52.59
1749607408;49.39
1749607409;41.68
1749607410;45.71
1749607411;47.26
1749607412;37.91
1749607413;47.36
1749607414;47.85
1749607415;45.41
1749607416;48.76
1749607417;56.23
1749607418;46.59
1749607419;48.63
1749607421;33.8
1749607422;39.13
1749607423;54.96
1749607424;55.13
1749607425;39.59
1749607426;50.86
1749607427;32.87
1749607428;53.38
1749607429;43.62
1749607430;56.83
1749607431;45.9
1749607432;58.71
1749607433;43.42
1749607434;31.58
1749607435;50.91
1749607437;39.67
1749607438;56.9
1749607439;31.57
1749607440;32.04
1749607441;43.78
1749607442;49.02
1749607443;39.18
1749607444;58.48
1749607445;53.92
1749607446;41.98
1749607447;40.0
1749607448;51.71
1749607449;56.98
1749607450;37.33
1749607451;53.8
1749607453;42.72
1749607454;52.96
1749607455;51.4
1749607456;48.69
1749607457;49.01
1749607458;37.93
1749607459;53.34
1749607460;47.13
1749607461;48.19
1749607462;31.95
1749607463;47.86
1749607464;54.19
1749607465;39.14
1749607467;48.31
1749607468;46.14
1749607469;41.78
1749607470;39.82
1749607471;53.71
1749607472;34.85
1749607473;43.56
1749607474;58.19
1749607475;35.05
1749607476;54.63
1749607477;59.42
1749607478;31.26
1749607479;32.51
1749607480;45.94
1749607482;57.24
1749607483;36.53
1749607484;40.05
1749607485;44.01
1749607486;39.56
1749607487;40.77
1749607509;41
1749607510;41
1749607512;46
1749607513;38
1749607514;48
1749607515;54
1749607516;41
1749607517;31
1749607518;31
1749607519;49
1749607520;43
1749607521;54
1749607522;31
1749607523;51
1749607524;33
1749607525;42
1749607527;44
1749607528;33
1749607529;36
1749607530;54
1749607531;50
1749607532;30
1749607533;49
1749607534;36
1749607535;56
1749607536;32
1749607537;54
1749607538;57
1749607539;45
1749607540;46
1749607542;33
1749607543;30
1749607544;34
1749607545;36
1749607546;44
1749607547;32
1749607548;32
1749607549;30
1749607550;38
1749607551;52
1749607552;40
1749607553;37
1749607554;40
