timestamp;FPS
1749607390;49.69
1749607391;59.99
1749607392;31.17
1749607393;34.65
1749607394;40.49
1749607395;32.42
1749607396;42.39
1749607397;40.76
1749607398;52.87
1749607399;36.55
1749607400;47.4
1749607401;34.91
1749607402;35.14
1749607403;42.8
1749607405;57.06
1749607406;48.58
1749607407;57.57
1749607408;36.23
1749607409;33.49
1749607410;51.15
1749607411;46.81
1749607412;45.6
1749607413;44.76
1749607414;54.17
1749607415;30.02
1749607416;48.83
1749607417;54.95
1749607418;47.03
1749607419;31.77
1749607421;49.38
1749607422;36.53
1749607423;50.4
1749607424;39.17
1749607425;50.46
1749607426;52.16
1749607427;34.2
1749607428;49.41
1749607429;54.6
1749607430;38.41
1749607431;49.95
1749607432;59.8
1749607433;59.06
1749607434;59.94
1749607435;38.28
1749607437;42.5
1749607438;37.42
1749607439;47.99
1749607440;32.99
1749607441;39.44
1749607442;39.97
1749607443;30.07
1749607444;35.35
1749607445;55.11
1749607446;53.46
1749607447;37.26
1749607448;39.54
1749607449;57.99
1749607450;37.41
1749607451;33.62
1749607453;33.8
1749607454;35.93
1749607455;48.51
1749607456;52.78
1749607457;37.4
1749607458;38.71
1749607459;38.86
1749607460;35.52
1749607461;49.29
1749607462;45.96
1749607463;49.81
1749607464;48.72
1749607465;46.43
1749607467;45.65
1749607468;51.86
1749607469;35.61
1749607470;37.02
1749607471;48.98
1749607472;35.28
1749607473;32.66
1749607474;51.37
1749607475;41.16
1749607476;35.58
1749607477;49.45
1749607478;45.29
1749607479;53.94
1749607480;42.04
1749607482;48.29
1749607483;40.66
1749607484;33.91
1749607485;35.69
1749607486;36.35
1749607487;48.52
1749607509;42
1749607510;60
1749607512;35
1749607513;38
1749607514;44
1749607515;34
1749607516;60
1749607517;57
1749607518;50
1749607519;30
1749607520;45
1749607521;55
1749607522;36
1749607523;31
1749607524;53
1749607525;55
1749607527;37
1749607528;44
1749607529;40
1749607530;58
1749607531;41
1749607532;56
1749607533;43
1749607534;47
1749607535;50
1749607536;52
1749607537;35
1749607538;57
1749607539;41
1749607540;57
1749607542;42
1749607543;31
1749607544;35
1749607545;36
1749607546;43
1749607547;49
1749607548;34
1749607549;48
1749607550;31
1749607551;42
1749607552;60
1749607553;54
1749607554;39
